protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
AFATINIB	INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR	Precaution d'emploi Il est recommande d'administrer l'inhibiteur de proteases le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'inhibiteur de proteases.	NA	NA	 Il est recommande d'administrer l'inhibiteur de proteases le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	NA
AFATINIB	ITRACONAZOLE	Precaution d'emploi Il est recommande d'administrer l'itraconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'itraconazole.	NA	NA	 Il est recommande d'administrer l'itraconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	NA
AFATINIB	KETOCONAZOLE	Precaution d'emploi Il est recommande d'administrer le ketoconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par le ketoconazole.	NA	NA	 Il est recommande d'administrer le ketoconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	NA
AFATINIB	PRIMIDONE	Precaution d'emploi Surveillance clinique pendant l'association et 1 a 2 semaines apres leur arret. 		Diminution des concentrations plasmatiques de l'afatinib par augmentation de son metabolisme par la primidone.	NA	NA	 Surveillance clinique pendant l'association et 1 a 2 semaines apres leur arret. 	NA
AFATINIB	RIFAMPICINE	Precaution d'emploi Surveillance clinique pendant l'association et 1 a 2 semaines apres leur arret. 		Diminution des concentrations plasmatiques de l'afatinib par augmentation de son metabolisme par la rifampicine.	NA	NA	 Surveillance clinique pendant l'association et 1 a 2 semaines apres leur arret. 	NA
AFATINIB	VERAPAMIL	Precaution d'emploi Il est recommande d'administrer le verapamil le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par le verapamil.	NA	NA	 Il est recommande d'administrer le verapamil le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	NA
AGOMELATINE	CIPROFLOXACINE	Association DECONSEILLEE Augmentation des concentrations d'agomelatine, avec risque de 	Voir aussi : medicaments sedatifs	Augmentation des concentrations d'agomelatine, avec risque de majoration des effets indesirables.	NA		NA	NA
AGOMELATINE	FLUVOXAMINE	CONTRE-INDICATION Augmentation des concentrations d'agomelatine, avec risque de 	Voir aussi : medicaments sedatifs	Augmentation des concentrations d'agomelatine, avec risque de majoration des effets indesirables.		NA	NA	NA
ALBENDAZOLE	ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES	Precaution d'emploi Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. 		Diminution importante des concentrations plasmatiques de l'albendazole et de son metabolite actif par l'inducteur, avec risque de baisse de son efficacite.	NA	NA	 Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. 	NA
ALBENDAZOLE	INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR	Precaution d'emploi Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. 		Diminution importante des concentrations plasmatiques de l'albendazole et de son metabolite actif par le ritonavir, avec risque de baisse de son efficacite.	NA	NA	 Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. 	NA
ALBENDAZOLE	RIFAMPICINE	Precaution d'emploi Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. 		Diminution importante des concentrations plasmatiques de l'albendazole et de son metabolite actif par l'inducteur, avec risque de baisse de son efficacite.	NA	NA	 Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. 	NA
ALCALINISANTS URINAIRES	HYDROQUINIDINE	Precaution d'emploi Surveillance clinique, ECG et eventuellement controle des concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et apres son arret. 	(acetazolamide, sodium (bicarbonate de), trometamol)	Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excretion renale de l'hydroquinidine par alcalinisation des urines).	NA	NA	 Surveillance clinique, ECG et eventuellement controle des concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et apres son arret. 	NA
ALCALINISANTS URINAIRES	QUINIDINE	Precaution d'emploi Surveillance clinique, ECG et eventuellement controle de la quinidinemie ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et apres son arret. 	(acetazolamide, sodium (bicarbonate de), trometamol)	Augmentation des concentrations plasmatiques de la quinidine et risque de surdosage (diminution de l'excretion renale de la quinidine par alcalinisation des urines). Thesaurus des interactions medicamenteuses	NA	NA	 Surveillance clinique, ECG et eventuellement controle de la quinidinemie ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et apres son arret. 	NA
ALCALOIDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES	ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS	Association DECONSEILLEE Risque de vasoconstriction et/ou de poussees hypertensives.	(bromocriptine, cabergoline, lisuride, pergolide)	Risque de vasoconstriction et/ou de poussees hypertensives.	NA		NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES	ANTIPARKINSONIENS ANTICHOLINERGIQUES	Precaution d'emploi Surveillance clinique et biologique reguliere, notamment en debut d'association. 	(bromocriptine, cabergoline, lisuride, pergolide)	Risque de majoration des troubles neuropsychiques.	NA	NA	 Surveillance clinique et biologique reguliere, notamment en debut d'association. 	NA
ALCALOIDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES	MACROLIDES (SAUF SPIRAMYCINE)	Association DECONSEILLEE Augmentation des concentrations plasmatiques du dopaminergique 	(bromocriptine, cabergoline, lisuride, pergolide)	Augmentation des concentrations plasmatiques du dopaminergique avec accroissement possible de son activite ou apparition de signes de surdosage.	NA		NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES	SYMPATHOMIMETIQUES ALPHA (VOIES ORALE ET/OU NASALE)	Association DECONSEILLEE Risque de vasoconstriction et/ou de poussees hypertensives.	(bromocriptine, cabergoline, lisuride, pergolide)	Risque de vasoconstriction et/ou de poussees hypertensives.	NA		NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES	SYMPATHOMIMETIQUES INDIRECTS	Association DECONSEILLEE Risque de vasoconstriction et/ou de poussees hypertensives.	(bromocriptine, cabergoline, lisuride, pergolide)	Risque de vasoconstriction et/ou de poussees hypertensives.	NA		NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS	INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR	CONTRE-INDICATION Risque de vasoconstriction coronaire ou des extremites 	(dihydroergotamine, ergotamine, methylergometrine)	Risque de vasoconstriction coronaire ou des extremites (ergotisme), ou de poussees hypertensives.		NA	NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS	INHIBITEURS PUISSANTS DU CYP3A4	CONTRE-INDICATION Risque de vasoconstriction coronaire ou des extremites 	(dihydroergotamine, ergotamine, methylergometrine)	Risque de vasoconstriction coronaire ou des extremites (ergotisme), ou de poussees hypertensives.		NA	NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS	OMBITASVIR + PARITAPREVIR	CONTRE-INDICATION Augmentation des concentrations plasmatiques de l'alcaloide de 	(dihydroergotamine, ergotamine, methylergometrine)	Augmentation des concentrations plasmatiques de l'alcaloide de l'ergot de seigle vasoconstricteur par diminution de son metabolisme hepatique par la bitherapie.		NA	NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS	SYMPATHOMIMETIQUES ALPHA (VOIES ORALE ET/OU NASALE)	Association DECONSEILLEE Risque de vasoconstriction et/ou de poussees hypertensives.	(dihydroergotamine, ergotamine, methylergometrine)	Risque de vasoconstriction et/ou de poussees hypertensives.	NA		NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS	SYMPATHOMIMETIQUES INDIRECTS	Association DECONSEILLEE Risque de vasoconstriction et/ou de poussees hypertensives.	(dihydroergotamine, ergotamine, methylergometrine)	Risque de vasoconstriction et/ou de poussees hypertensives.	NA		NA	NA
ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS	TRIPTANS	CONTRE-INDICATION Respecter un delai de 6 a 24 heures, selon le triptan, entre la prise de celui-ci et celle de l'alcaloide ergote 	(dihydroergotamine, ergotamine, methylergometrine)	Risque d'hypertension arterielle, de vasoconstriction arterielle coronaire.	 Respecter un delai de 6 a 24 heures, selon le triptan, entre la prise de celui-ci et celle de l'alcaloide ergote 	NA	NA	NA
ANTABUSE (REACTION)	ALCOOL (BOISSON OU EXCIPIENT)	Association DECONSEILLEE Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. Tenir compte de l'elimination complete des medicaments en se referant a leur demi-vie avant la reprise de boissons alcoolisees ou du medicament contenant de l'alcool. 	Les medicaments provoquant une reaction antabuse avec l'alcool sont nombreux, et leur association avec l'alcool est deconseillee.(cefamandole, disulfirame, glibenclamide, glipizide, griseofulvine, ketoconazole, metronidazole, ornidazole, procarbazine, secnidazole, tenonitrozole, tinidazole)	Effet antabuse (chaleur, rougeurs, vomissements, tachycardie). Thesaurus des interactions medicamenteuses	NA	 Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. Tenir compte de l'elimination complete des medicaments en se referant a leur demi-vie avant la reprise de boissons alcoolisees ou du medicament contenant de l'alcool. 	NA	NA
ANTIVITAMINES K	ALCOOL (BOISSON OU EXCIPIENT)	A prendre en compte Variations possibles de l'effet anticoagulant, avec augmentation en cas d'intoxication aigue ou diminution en cas d'alcoolisme chronique (metabolisme augmente).	ANTI-INFECTIEUX ET INRDe nombreux cas d'augmentation de l'activite des antivitamines K ont ete rapportes chez des patients recevant des antibiotiques. Le contexte infectieux ou inflammatoire marque, l'age et l'etat general du patient apparaissent comme des facteurs de risque. Dans ces circonstances, il apparait difficile de faire la part entre la pathologie infectieuse et son traitement  dans la survenue du desequilibre de l'INR. Cependant, certaines classes d'antibiotiques sont davantage impliquees : il s'agit notamment des fluoroquinolones, des macrolides, des cyclines, du cotrimoxazole et de certaines cephalosporines, qui imposent, dans ces conditions, de renforcer la surveillance de l'INR.(acenocoumarol, fluindione, warfarine)	Variations possibles de l'effet anticoagulant, avec augmentation en cas d'intoxication aigue ou diminution en cas d'alcoolisme chronique (metabolisme augmente).	NA	NA	NA	
IMAO IRREVERSIBLES	ALCOOL (BOISSON OU EXCIPIENT)	Association DECONSEILLEE Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. 	(iproniazide	Majoration des effets hypertenseurs et/ou hyperthermiques de la tyramine presente dans certaines boissons alcoolisees (chianti, certaines bieres, etc).	NA	 Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. 	NA	NA
INSULINE	ALCOOL (BOISSON OU EXCIPIENT)	Association DECONSEILLEE Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. 	Voir aussi : insuline	Augmentation de la reaction hypoglycemique (inhibition des reactions de compensation pouvant faciliter la survenue de coma hypoglycemique).	NA	 Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. 	NA	NA
MEDICAMENTS SEDATIFS	ALCOOL (BOISSON OU EXCIPIENT)	Association DECONSEILLEE Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. 	Il faut prendre en compte le fait que de nombreux medicaments ou substances peuvent additionner leurs effets depresseurs du systeme nerveux central et contribuer a diminuer la vigilance. Il s'agit des derives morphiniques (analgesiques, antitussifs et traitements de substitution), des neuroleptiques, des barbituriques, des benzodiazepines, des anxiolytiques autres que les benzodiazepines (par exemple, le meprobamate), des hypnotiques, des antidepresseurs sedatifs (amitriptyline, doxepine, mianserine, mirtazapine, trimipramine), des antihistaminiques H1 sedatifs, des antihypertenseurs centraux, du baclofene et du thalidomide.(agomelatine, alfentanil, alimemazine, alizapride, alprazolam, amisulpride, amitriptyline, aripiprazole, avizafone, azelastine, baclofene, bromazepam, brompheniramine, buprenorphine, captodiame, chlordiazepoxide, chlorphenamine, chlorpromazine, clobazam, clonazepam, clonidine, clorazepate, clotiazepam, clozapine, codeine, cyamemazine, cyproheptadine, dapoxetine, dexchlorpheniramine, dexmedetomidine, dextromethorphane, di(acefylline) diphenhydramine, diazepam, dihydrocodeine, dimenhydrinate, diphenhydramine, doxepine, doxylamine, droperidol, estazolam, ethylmorphine, etifoxine, fenspiride, fentanyl, flunarizine, flupentixol, fluphenazine, flurazepam, haloperidol, hydromorphone, hydroxyzine, isothipendyl, ketotifene, levomepromazine, loflazepate, loprazolam, lorazepam, lormetazepam, loxapine, maprotiline, meclozine, mepyramine, mequitazine, methadone, methyldopa, metoclopramide, metopimazine, mianserine, midazolam, mirtazapine, morphine, moxonidine, nalbuphine, naloxone, nefopam, nitrazepam, nordazepam, noscapine, olanzapine, oxazepam, oxetorone, oxomemazine, oxybate de sodium, oxycodone, paliperidone, penfluridol, perampanel, pethidine, pheniramine, phenobarbital, phenyltoloxamine, pholcodine, pimethixene, pimozide, pipamperone, pipotiazine, pizotifene, prazepam, pregabaline, primidone, promethazine, propericiazine, quetiapine, remifentanil, rilmenidine, risperidone, ropinirole, rupatadine, sodium (oxybate de), sufentanil, sulpiride, tapentadol, tetrabenazine, thalidomide, tiapride, tramadol, trimipramine, triprolidine, ziconotide, zolpidem, zopiclone, zuclopenthixol)	Majoration par l'alcool de l'effet sedatif de ces substances. L'alteration de la vigilance peut rendre dangereuses la conduite de vehicules et l'utilisation de machines.	NA	 Eviter la prise de boissons alcoolisees et de medicaments contenant de l'alcool. 	NA	NA
